"id","name","packaging_signalled","bottlesize_signalled","fill_level_signalled","state_signalled","bottlesize_l","fill_level","state","packaging","sold","price"
21548,"Chateau Ducru-Beaucaillou 1990 0,75 l",NULL,1,1,1,0.75,"in","in, Etikett verschmutzt","None",1,90
21549,"Ornellaia Le Serre Nuove 2006 0,75 l",NULL,1,1,1,0.75,"ts","ts, Etiketten ganz leicht verschmutzt","None",1,70
21550,"Brumont, Alain Chateau Montus Cuvee Prestige 2002 0,75 l",1,1,1,1,0.75,"ts","ts","12er OHK",1,310
21551,"Clos Saint Jean Chateauneuf-du-Pape ""La Combe des Fous"" 2003 0,75 l",NULL,1,1,1,0.75,"2 cm","2 cm, Etiketten ganz leicht verschmutzt","None",1,140
21552,"Joan Simon  Sentius 2008 0,75 l",1,1,1,1,0.75,"in","in","lose",1,60
21553,"Ornellaia 1994 0,75 l",NULL,1,1,1,0.75,"in","in, Etikett ganz leicht verschmutzt","None",1,95
21554,"Fonseca, Jose Quinta Vale Dona Maria 2005 0,75 l",NULL,1,1,1,0.75,"in","in, Etiketten ganz leicht verschmutzt","None",1,100
21555,"Laurent Perrier Grand Siecle Brut NV 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,100
21556,"Bouzereau, Michel Meursault Les Genevrieres 1er Cru 2006 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm","None",1,100
21557,"Chateau Duhart-Milon-Rothschild 2004 0,75 l",1,1,1,1,0.75,"in","in","lose",1,45
21558,"Heymann Löwenstein Winninger Uhlen Roth Lay Riesling Erste Lage 2006 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm, Etiketten ganz leicht beschädigt","None",1,75
21559,"Penfolds Grange Hermitage 1995 0,75 l",NULL,1,1,1,0.75,"ts","ts, Etikett ganz leicht beschädigt","None",1,260
21560,"Tement, Manfred Sauvignon Blanc Zieregg 2011 0,75 l",NULL,1,1,1,0.75,"in","in, Etiketten ganz leicht beschädigt","None",1,180
21561,"Chateau Latour Les Forts de Latour, 2e vin de Latour 1993 0,75 l",NULL,1,1,1,0.75,"in","in, Etikett ganz leicht beschädigt, leicht verschmutzt, Kapsel ganz leicht beschädigt, Kapsel wellig und locker","None",1,60
21562,"Ökonomierat Rebholz Im Sonnenschein Spätburgunder Spätlese trocken 2003 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,50
21563,"Hugel Gewürztraminer Selection de Grains Nobles 1989 0,75 l",NULL,1,1,1,0.75,"1 cm","1 cm, Etikett ganz leicht beschädigt, Kapsel ganz leicht beschädigt","None",1,60
21564,"Penfolds Cabernet Sauvignon Bin 707 2009 0,75 l",NULL,1,1,1,0.75,"in","in","None",1,480
21565,"Gaja, Angelo Barbaresco 1991 0,75 l",NULL,1,1,1,0.75,"2 cm","2 cm, Etikett leicht verschmutzt","None",1,100
21566,"Chateau Mouton-Rothschild 1989 0,75 l",NULL,1,1,1,0.75,"ts","ts","None",1,350
21567,"Bollinger Special Cuvee Brut NV 3,0 l",1,1,1,1,3,"1 cm","1 cm","1er OHK",1,195
21568,"Othegraven, von Kanzemer Altenberg Riesling Grosses Gewächs 2005 0,75 l",NULL,1,1,1,0.75,"0,5 cm","0,5 cm, Etiketten ganz leicht beschädigt","None",1,50
21569,"Bollinger Special Cuvee Brut NV 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,180
21570,"Antinori Tignanello 1990 1,5 l",NULL,1,1,1,1.5,"in","in, Etikett ganz leicht verschmutzt","None",1,205
21571,"Weingut Knipser Sauvignon Blanc 2008 0,75 l",NULL,1,1,1,0.75,"0","0,5 cm","None",1,30
21572,"Hirtzberger, Franz Spitzer Singerriedel Riesling Trockenbeerenauslese 2009 0,375 l",NULL,1,1,1,0.37,"0","0,5 cm","None",1,90
21573,"Penfolds Cabernet Shiraz Koonunga Hill 1993 0,75 l",NULL,1,1,1,0.75,"in","in, Etiketten ganz leicht beschädigt, ganz leicht verschmutzt","None",1,40
