"auctiondate","avg","lot_sold","lot_not_sold"
"2019-02-17 00:00:00",184.0558904109589,46,27
"2019-04-08 00:00:00",186.7175,44,22
"2019-05-19 00:00:00",0,0,16
"2019-07-07 00:00:00",190.30103896103896,45,32
"2019-09-29 00:00:00",188.6003846153846,41,11
"2019-10-11 00:00:00",133.84830508474576,32,27
"2019-12-29 00:00:00",186.2786111111111,31,5
"2020-02-16 00:00:00",310.80645161290323,28,3
"2020-05-01 00:00:00",333.91590909090905,18,4
"2020-05-04 00:00:00",245.58823529411765,50,1
"2020-05-17 00:00:00",240.259375,48,0
"2020-08-11 00:00:00",267.2142857142857,36,6
"2020-09-08 00:00:00",182.04553763440862,130,56
"2020-09-27 00:00:00",161.78073529411765,54,14
"2020-12-07 00:00:00",297.7161627906977,78,8
"2020-12-27 00:00:00",206.2116037735849,90,16
"2021-01-08 00:00:00",258.0439393939394,132,0
"2021-01-24 00:00:00",349.8328915662651,164,2
"2021-02-14 00:00:00",309.26363184079605,197,4
"2021-03-10 00:00:00",291.0673602484472,153,8
"2021-03-28 00:00:00",272.88349514563106,94,9
"2021-04-18 00:00:00",299.1542372881356,175,2
"2021-05-12 00:00:00",281.86593994778065,362,21
"2021-05-30 00:00:00",237.42767857142854,111,1
"2021-06-20 00:00:00",289.0528985507246,67,2
"2021-08-22 00:00:00",287.5226223776224,130,13
"2021-09-05 00:00:00",261.48582822085893,147,16
"2021-10-24 00:00:00",226.0691463414635,154,10
"2021-11-07 00:00:00",311.9265384615385,70,8
"2021-11-14 00:00:00",286.9600251256281,195,4
"2021-12-09 00:00:00",269.1564583333333,88,8
"2021-12-26 00:00:00",269.7516242038217,145,12
"2022-01-05 00:00:00",354.2336594202899,133,5
"2022-01-16 00:00:00",343.0871323529412,62,6
"2022-02-27 00:00:00",293.8853353658536,160,4
"2022-03-20 00:00:00",278.59412772585665,311,10
"2022-05-22 00:00:00",254.98425675675674,62,12
"2022-06-02 00:00:00",316.23664772727267,169,7
"2022-10-04 00:00:00",238.74386206896543,133,12
"2022-12-06 00:00:00",298.5306538461537,123,7
