"id","name","winepoints_signalled","state_signalled","sold","winepoints","state"
21548,"Chateau Ducru-Beaucaillou 1990 0,75 l",NULL,1,1,0,"in, Etikett verschmutzt"
21549,"Ornellaia Le Serre Nuove 2006 0,75 l",1,1,1,94,"ts, Etiketten ganz leicht verschmutzt"
21550,"Brumont, Alain Chateau Montus Cuvee Prestige 2002 0,75 l",1,1,1,91,"ts"
21551,"Clos Saint Jean Chateauneuf-du-Pape ""La Combe des Fous"" 2003 0,75 l",1,1,1,97,"2 cm, Etiketten ganz leicht verschmutzt"
21552,"Joan Simon  Sentius 2008 0,75 l",NULL,1,1,0,"in"
21553,"Ornellaia 1994 0,75 l",NULL,1,1,0,"in, Etikett ganz leicht verschmutzt"
21554,"Fonseca, Jose Quinta Vale Dona Maria 2005 0,75 l",NULL,1,1,0,"in, Etiketten ganz leicht verschmutzt"
21555,"Laurent Perrier Grand Siecle Brut NV 0,75 l",NULL,1,1,0,"0,5 cm"
21556,"Bouzereau, Michel Meursault Les Genevrieres 1er Cru 2006 0,75 l",NULL,1,1,0,"1 cm"
21557,"Chateau Duhart-Milon-Rothschild 2004 0,75 l",1,1,1,91,"in"
21558,"Heymann Löwenstein Winninger Uhlen Roth Lay Riesling Erste Lage 2006 0,75 l",NULL,1,1,0,"1 cm, Etiketten ganz leicht beschädigt"
21559,"Penfolds Grange Hermitage 1995 0,75 l",NULL,1,1,0,"ts, Etikett ganz leicht beschädigt"
21560,"Tement, Manfred Sauvignon Blanc Zieregg 2011 0,75 l",1,1,1,94,"in, Etiketten ganz leicht beschädigt"
21561,"Chateau Latour Les Forts de Latour, 2e vin de Latour 1993 0,75 l",NULL,1,1,0,"in, Etikett ganz leicht beschädigt, leicht verschmutzt, Kapsel ganz leicht beschädigt, Kapsel wellig und locker"
21562,"Ökonomierat Rebholz Im Sonnenschein Spätburgunder Spätlese trocken 2003 0,75 l",NULL,1,1,0,"0,5 cm"
21563,"Hugel Gewürztraminer Selection de Grains Nobles 1989 0,75 l",NULL,1,1,0,"1 cm, Etikett ganz leicht beschädigt, Kapsel ganz leicht beschädigt"
21564,"Penfolds Cabernet Sauvignon Bin 707 2009 0,75 l",1,1,1,94,"in"
21565,"Gaja, Angelo Barbaresco 1991 0,75 l",NULL,1,1,0,"2 cm, Etikett leicht verschmutzt"
21566,"Chateau Mouton-Rothschild 1989 0,75 l",1,1,1,93,"ts"
21567,"Bollinger Special Cuvee Brut NV 3,0 l",1,1,1,93,"1 cm"
21568,"Othegraven, von Kanzemer Altenberg Riesling Grosses Gewächs 2005 0,75 l",NULL,1,1,0,"0,5 cm, Etiketten ganz leicht beschädigt"
21569,"Bollinger Special Cuvee Brut NV 0,75 l",1,1,1,93,"0,5 cm"
21570,"Antinori Tignanello 1990 1,5 l",1,1,1,93,"in, Etikett ganz leicht verschmutzt"
21571,"Weingut Knipser Sauvignon Blanc 2008 0,75 l",NULL,1,1,0,"0,5 cm"
21572,"Hirtzberger, Franz Spitzer Singerriedel Riesling Trockenbeerenauslese 2009 0,375 l",1,1,1,95,"0,5 cm"
21573,"Penfolds Cabernet Shiraz Koonunga Hill 1993 0,75 l",NULL,1,1,0,"in, Etiketten ganz leicht beschädigt, ganz leicht verschmutzt"
21574,"Amiot Servelle Chambolle Musigny Les Amoureuses 1er Cru 2009 0,75 l",NULL,1,1,0,"0,5 cm, Etikett beschädigt"
21713,"Gantenbein Pinot Noir 2007 0,75 l",NULL,1,1,0,"0,5 cm, Etikett ganz leicht beschädigt"
21575,"Chateau Haut-Brion 2009 3,0 l",1,1,NULL,10,"1 cm, Etikett leicht verschmutzt"
21576,"Dauvissat, Renè et Vincent Chablis Les Clos Grand Cru 1990 0,375 l",1,1,1,90,"1 cm, Etiketten stark beschädigt, stark verschmutzt"
21577,"Chateau Gruaud-Larose 2000 0,75 l",1,1,NULL,94,"in, leichter Abrieb am Etikett"
21578,"Fürst, Rudolf Bürgstadter Centgrafenberg Frühburgunder trocken 2012 0,75 l",NULL,1,1,0,"0,5 cm"
21579,"Taittinger Prelude Brut NV 1,5 l",NULL,1,NULL,0,"1 cm"
