"id","name","winepoints_signalled","sold","winepoints"
21548,"Chateau Ducru-Beaucaillou 1990 0,75 l",NULL,1,0
21549,"Ornellaia Le Serre Nuove 2006 0,75 l",1,1,94
21550,"Brumont, Alain Chateau Montus Cuvee Prestige 2002 0,75 l",1,1,91
21551,"Clos Saint Jean Chateauneuf-du-Pape ""La Combe des Fous"" 2003 0,75 l",1,1,97
21552,"Joan Simon  Sentius 2008 0,75 l",NULL,1,0
21553,"Ornellaia 1994 0,75 l",NULL,1,0
21554,"Fonseca, Jose Quinta Vale Dona Maria 2005 0,75 l",NULL,1,0
21555,"Laurent Perrier Grand Siecle Brut NV 0,75 l",NULL,1,0
21556,"Bouzereau, Michel Meursault Les Genevrieres 1er Cru 2006 0,75 l",NULL,1,0
21557,"Chateau Duhart-Milon-Rothschild 2004 0,75 l",1,1,91
21558,"Heymann Löwenstein Winninger Uhlen Roth Lay Riesling Erste Lage 2006 0,75 l",NULL,1,0
21559,"Penfolds Grange Hermitage 1995 0,75 l",NULL,1,0
21560,"Tement, Manfred Sauvignon Blanc Zieregg 2011 0,75 l",1,1,94
21561,"Chateau Latour Les Forts de Latour, 2e vin de Latour 1993 0,75 l",NULL,1,0
21562,"Ökonomierat Rebholz Im Sonnenschein Spätburgunder Spätlese trocken 2003 0,75 l",NULL,1,0
21563,"Hugel Gewürztraminer Selection de Grains Nobles 1989 0,75 l",NULL,1,0
21564,"Penfolds Cabernet Sauvignon Bin 707 2009 0,75 l",1,1,94
21565,"Gaja, Angelo Barbaresco 1991 0,75 l",NULL,1,0
21566,"Chateau Mouton-Rothschild 1989 0,75 l",1,1,93
21567,"Bollinger Special Cuvee Brut NV 3,0 l",1,1,93
21568,"Othegraven, von Kanzemer Altenberg Riesling Grosses Gewächs 2005 0,75 l",NULL,1,0
21569,"Bollinger Special Cuvee Brut NV 0,75 l",1,1,93
21570,"Antinori Tignanello 1990 1,5 l",1,1,93
21571,"Weingut Knipser Sauvignon Blanc 2008 0,75 l",NULL,1,0
21572,"Hirtzberger, Franz Spitzer Singerriedel Riesling Trockenbeerenauslese 2009 0,375 l",1,1,95
21573,"Penfolds Cabernet Shiraz Koonunga Hill 1993 0,75 l",NULL,1,0
21574,"Amiot Servelle Chambolle Musigny Les Amoureuses 1er Cru 2009 0,75 l",NULL,1,0
21713,"Gantenbein Pinot Noir 2007 0,75 l",NULL,1,0
21576,"Dauvissat, Renè et Vincent Chablis Les Clos Grand Cru 1990 0,375 l",1,1,90
21577,"Chateau Gruaud-Larose 2000 0,75 l",1,NULL,94
21578,"Fürst, Rudolf Bürgstadter Centgrafenberg Frühburgunder trocken 2012 0,75 l",NULL,1,0
21579,"Taittinger Prelude Brut NV 1,5 l",NULL,NULL,0
21580,"Chateau de Malle 2001 0,75 l",1,1,95
21581,"Moet & Chandon Dom Perignon ""Edition Tokujin Yoshioka"" Brut 2009 0,75 l",1,1,93
21582,"Weingut Knipser Cuvee X ""R"" 2001 3,0 l",NULL,1,0
21583,"Levi, Serafino Grappa - hell ""della Donna Selvatica"" 50 % Vol. 1992 0,7 l",NULL,1,0
21584,"Krug Grande Cuvee Brut NV 0,75 l",1,1,91
21585,"Pichler, F.X. ""Unendlich"" Riesling Smaragd 2000 0,75 l",1,1,97
21586,"Bodegas Berberana Vina Alarde Gran Reserva 1995 0,75 l",NULL,1,0
21587,"Villa Banfi Cabernet-Sauvignon Tavernelle 1984 1,5 l",NULL,NULL,0
21588,"Pichler, F.X. ""Unendlich"" Riesling Smaragd 2017 0,75 l",1,NULL,95
21589,"Chateau Peyreau 2001 0,75 l",NULL,NULL,0
21590,"The Wild Boys of Batonnage Club Batonnage 2008 0,75 l",NULL,NULL,0
21591,"Pahlmeyer Proprietary Red 1993 0,75 l",1,NULL,88
21592,"Weingüter Wegeler Geheimrat ""J"" Riesling Sekt Brut 1988 0,75 l(1)",1,NULL,94
21593,"Weingut Dr. Loosen Erdener Prälat Alte Reben Grosses Gewächs 2011 1,5 l",NULL,NULL,0
21594,"Perrier-Jouet Belle Epoque Brut 1989 0,75 l",NULL,NULL,0
21595,"Mascarello, B. Barolo 1985 0,75 l",NULL,NULL,0
21596,"Heymann Löwenstein Winninger Uhlen Laubach Riesling Erste Lage 2005 0,75 l",1,NULL,91
21597,"Jadot, Louis Batard Montrachet Grand Cru 1998 0,75 l",1,NULL,94
21598,"Gaja, Angelo Barbaresco 1987 0,75 l",NULL,1,0
21599,"Weingut Knipser Laumersheimer Kapellenberg Riesling Kabinett trocken 2010 0,75 l",NULL,1,0
21600,"Antinori Tignanello 2001 0,75 l",1,1,93
21601,"Pichler, F.X. Grüner Veltliner Von den Terrassen Smaragd 2000 0,75 l",NULL,1,0
21714,"Gantenbein Pinot Noir 2007 0,75 l",NULL,1,0
21602,"Chateau d´ Yquem 1971 0,75 l",1,1,97
21603,"Tua Rita Giusto di Notri 2006 0,75 l",1,1,96
21604,"Chateau Mouton-Rothschild 1990 0,75 l",NULL,1,0
21605,"Drappier Cuvee Carte d'Or Brut 1998 1,5 l",NULL,1,0
21606,"The Wild Boys of Batonnage Club Batonnage 2014 0,75 l",NULL,1,0
21607,"Pichler, F.X. Dürnsteiner Liebenberg Grüner Veltliner Smaragd 2017 1,5 l",1,1,93
21608,"Quinta do Noval Vintage Port 1966 0,75 l",NULL,NULL,0
21609,"Chateau Bon Pasteur 1989 0,75 l",NULL,1,0
21610,"Bollinger Vintage R.D. Extra Brut 1976 0,75 l",NULL,NULL,0
