"id","name","winepoints_signalled","packaging_signalled","vintage_signalled","bottlesize_signalled","origin_signalled","fill_level_signalled","state_signalled","min_price_signalled","max_price_signalled","sold","price","minimum_price","maximum_price"
21548,"Chateau Ducru-Beaucaillou 1990 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,90,60,120
21549,"Ornellaia Le Serre Nuove 2006 0,75 l",1,NULL,1,1,1,1,1,1,1,1,70,50,100
21550,"Brumont, Alain Chateau Montus Cuvee Prestige 2002 0,75 l",1,1,1,1,1,1,1,1,1,1,310,300,540
21551,"Clos Saint Jean Chateauneuf-du-Pape ""La Combe des Fous"" 2003 0,75 l",1,NULL,1,1,1,1,1,1,1,1,140,140,280
21552,"Joan Simon  Sentius 2008 0,75 l",NULL,1,1,1,1,1,1,1,1,1,60,60,120
21553,"Ornellaia 1994 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,95,85,170
21554,"Fonseca, Jose Quinta Vale Dona Maria 2005 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,100,100,200
21555,"Laurent Perrier Grand Siecle Brut NV 0,75 l",NULL,NULL,NULL,1,1,1,1,1,1,1,100,100,200
21556,"Bouzereau, Michel Meursault Les Genevrieres 1er Cru 2006 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,100,100,200
21557,"Chateau Duhart-Milon-Rothschild 2004 0,75 l",1,1,1,1,1,1,1,1,1,1,45,45,90
21558,"Heymann Löwenstein Winninger Uhlen Roth Lay Riesling Erste Lage 2006 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,75,75,165
21559,"Penfolds Grange Hermitage 1995 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,260,200,400
21560,"Tement, Manfred Sauvignon Blanc Zieregg 2011 0,75 l",1,NULL,1,1,1,1,1,1,1,1,180,120,240
21561,"Chateau Latour Les Forts de Latour, 2e vin de Latour 1993 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,60,60,120
21562,"Ökonomierat Rebholz Im Sonnenschein Spätburgunder Spätlese trocken 2003 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,50,50,100
21563,"Hugel Gewürztraminer Selection de Grains Nobles 1989 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,60,40,80
21564,"Penfolds Cabernet Sauvignon Bin 707 2009 0,75 l",1,NULL,1,1,1,1,1,1,1,1,480,480,960
21565,"Gaja, Angelo Barbaresco 1991 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,100,90,180
21566,"Chateau Mouton-Rothschild 1989 0,75 l",1,NULL,1,1,1,1,1,1,1,1,350,350,600
21567,"Bollinger Special Cuvee Brut NV 3,0 l",1,1,NULL,1,1,1,1,1,1,1,195,135,225
21568,"Othegraven, von Kanzemer Altenberg Riesling Grosses Gewächs 2005 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,50,50,110
21569,"Bollinger Special Cuvee Brut NV 0,75 l",1,NULL,NULL,1,1,1,1,1,1,1,180,150,250
21570,"Antinori Tignanello 1990 1,5 l",1,NULL,1,1,1,1,1,1,1,1,205,205,405
21571,"Weingut Knipser Sauvignon Blanc 2008 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,30,30,60
21572,"Hirtzberger, Franz Spitzer Singerriedel Riesling Trockenbeerenauslese 2009 0,375 l",1,NULL,1,1,1,1,1,1,1,1,90,90,180
21573,"Penfolds Cabernet Shiraz Koonunga Hill 1993 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,40,30,60
21574,"Amiot Servelle Chambolle Musigny Les Amoureuses 1er Cru 2009 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,150,150,300
21713,"Gantenbein Pinot Noir 2007 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,125,115,230
21575,"Chateau Haut-Brion 2009 3,0 l",1,1,1,1,1,1,1,1,1,NULL,0,2.475,4.95
21576,"Dauvissat, Renè et Vincent Chablis Les Clos Grand Cru 1990 0,375 l",1,NULL,1,1,1,1,1,1,1,1,165,165,345
21577,"Chateau Gruaud-Larose 2000 0,75 l",1,1,1,1,1,1,1,1,1,NULL,0,200,400
21578,"Fürst, Rudolf Bürgstadter Centgrafenberg Frühburgunder trocken 2012 0,75 l",NULL,NULL,1,1,1,1,1,1,1,1,210,210,420
21579,"Taittinger Prelude Brut NV 1,5 l",NULL,1,NULL,1,1,1,1,1,1,NULL,0,180,360
21580,"Chateau de Malle 2001 0,75 l",1,NULL,1,1,1,1,1,1,1,1,50,40,80
21581,"Moet & Chandon Dom Perignon ""Edition Tokujin Yoshioka"" Brut 2009 0,75 l",1,1,1,1,1,1,1,1,1,1,120,100,200
21582,"Weingut Knipser Cuvee X ""R"" 2001 3,0 l",NULL,1,1,1,1,1,1,1,1,1,185,115,225
21583,"Levi, Serafino Grappa - hell ""della Donna Selvatica"" 50 % Vol. 1992 0,7 l",NULL,NULL,1,1,1,1,1,1,1,1,120,120,240
21584,"Krug Grande Cuvee Brut NV 0,75 l",1,1,NULL,1,1,1,1,1,1,1,170,100,200
