"auctiondate","avg","lot_sold","lot_not_sold"
"2019-10-11 00:00:00",121.72878787878788,20,13
"2020-05-17 00:00:00",146.29444444444445,15,3
"2019-02-17 00:00:00",154.6551724137931,19,10
"2020-08-11 00:00:00",96.60000000000001,31,25
"2021-04-18 00:00:00",233.61347826086958,45,1
"2022-01-16 00:00:00",297.3625,32,6
"2021-05-12 00:00:00",301.9742222222221,88,2
"2022-03-20 00:00:00",264.11560975609757,36,5
"2019-12-29 00:00:00",198.44444444444446,41,4
"2021-06-20 00:00:00",289.1860465116279,38,5
"2021-01-08 00:00:00",351.2607894736842,36,2
"2020-05-04 00:00:00",135.25,14,6
"2021-10-24 00:00:00",232.08333333333334,40,8
"2022-05-22 00:00:00",260.98,38,12
"2021-01-24 00:00:00",355.08869565217395,68,1
"2020-09-08 00:00:00",126.91780821917808,42,31
"2021-11-14 00:00:00",195.35000000000002,41,6
"2021-02-14 00:00:00",315.3636363636364,51,4
"2019-07-07 00:00:00",108.59375,18,14
"2020-12-07 00:00:00",227.17285714285714,30,5
"2022-01-05 00:00:00",276.53035714285716,25,3
"2020-09-27 00:00:00",98.47826086956522,22,24
"2019-05-19 00:00:00",0,0,34
"2020-02-16 00:00:00",149.75,17,3
"2021-09-05 00:00:00",241.103,51,9
"2022-10-04 00:00:00",218.3446341463415,39,2
"2020-12-27 00:00:00",135.27027027027026,54,20
"2021-12-26 00:00:00",187.78215384615385,60,5
"2021-11-07 00:00:00",279.31172413793104,25,4
"2019-09-29 00:00:00",196.8181818181818,19,3
"2021-03-28 00:00:00",268.78333333333336,47,4
"2021-03-10 00:00:00",298.19444444444446,34,2
"2022-12-06 00:00:00",152.39310344827584,24,5
"2021-05-30 00:00:00",301.2190163934426,61,0
"2021-12-09 00:00:00",290.6666666666667,30,0
"2022-02-27 00:00:00",289.6745614035088,54,3
"2019-04-08 00:00:00",136.46428571428572,19,9
"2020-05-01 00:00:00",163.2258064516129,25,6
"2022-06-02 00:00:00",338.93936170212766,93,1
"2021-08-22 00:00:00",217.6291666666667,20,4
